experiment,cycle,start_peak_temp_c,end_peak_temp_c,old_frequencies_mhz,new_frequencies_mhz,active_cores,predicted_core_temps_c,predicted_temp_errors_c,start_core_temps_c,end_core_temps_c,start_core_powers_w,end_core_powers_w,start_core_utilizations,end_core_utilizations,start_core_cpis,end_core_cpis,start_core_rel_nuca_cpis,end_core_rel_nuca_cpis,start_core_ips,end_core_ips,start_core_task_ids,end_core_task_ids,start_core_thread_ids,end_core_thread_ids
"parsec-blackscholes-simsmall-3",0,63.52,47.62,"4000;4000;4000;4000","2000;1000;1000;1000","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","49.86;60.02;47.78;63.52","47.62;45.43;45.43;45.43","0.4027583317;0.4027583317;0.4027583317;2.830807222","1.234394142;0.402759213;0.402759213;0.402759213","0;0;0;0.4788461538","0.136761488;0;0;0","430189;430189;430189;0.52","1.828;100010.5;100010.5;100010.5","0;0;0;0","0;0;0;0","-2.32455967;-2.32455967;-2.32455967;-1923076.923","1094091904;9.99895011;9.99895011;9.99895011","0;0;0;0","0;0;0;0","0;-1;-1;-1","0;-1;-1;-1"
"parsec-blackscholes-simsmall-3",1,47.62,49.71,"2000;1000;1000;1000","2000;1000;1000;1000","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","47.62;45.43;45.43;45.43","49.71;45.75;45.75;45.75","1.234394142;0.402759213;0.402759213;0.402759213","1.459244902;0.402759213;0.402759213;0.402759213","0.136761488;0;0;0","0.1798561151;0;0;0","1.828;100010.5;100010.5;100010.5","1.39;100008;100008;100008","0;0;0;0","0;0;0;0","1094091904;9.99895011;9.99895011;9.99895011","1438848921;9.999200064;9.999200064;9.999200064","0;0;0;0","0;0;0;0","0;-1;-1;-1","0;-1;-1;-1"
"parsec-blackscholes-simsmall-3",2,49.71,53.63,"2000;1000;1000;1000","2000;1000;1000;1000","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","49.71;45.75;45.75;45.75","53.63;46.01;46.01;46.01","1.459244902;0.402759213;0.402759213;0.402759213","2.269104672;0.402759213;0.402759213;0.402759213","0.1798561151;0;0;0","0.364568082;0;0;0","1.39;100008;100008;100008","0.683;100000.5;100000.5;100000.5","0;0;0;0","0;0;0;0","1438848921;9.999200064;9.999200064;9.999200064","2928257687;9.99995;9.99995;9.99995","0;0;0;0","0;0;0;0","0;-1;-1;-1","0;-1;-1;-1"
"parsec-blackscholes-simsmall-3",3,53.63,51.45,"2000;1000;1000;1000","1000;2000;1000;1000","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","53.63;46.01;46.01;46.01","50.36;51.45;46.23;46.23","2.269104672;0.402759213;0.402759213;0.402759213","0.402759213;2.147181392;0.402759213;0.402759213","0.364568082;0;0;0","0;0.337398374;0;0","0.683;100000.5;100000.5;100000.5","100000;0.738;100000;100000","0;0;0;0","0;0;0;0","2928257687;9.99995;9.99995;9.99995","10;2710027100;10;10","0;0;0;0","0;0;0;0","0;-1;-1;-1","-1;0;-1;-1"
"parsec-blackscholes-simsmall-3",4,51.45,51.67,"1000;2000;1000;1000","1000;1000;2000;1000","0;1;0;0","nan;nan;nan;nan","nan;nan;nan;nan","50.36;51.45;46.23;46.23","49.59;47.97;51.67;46.41","0.402759213;2.147181392;0.402759213;0.402759213","0.402759213;0.402759213;2.200325442;0.402759213","0;0.337398374;0;0","0;0;0.3492286115;0","100000;0.738;100000;100000","100000;100000;0.713;100000","0;0;0;0","0;0;0;0","10;2710027100;10;10","10;10;2805049088;10","0;0;0;0","0;0;0;0","-1;0;-1;-1","-1;-1;0;-1"
"parsec-blackscholes-simsmall-3",5,51.67,51.53,"1000;1000;2000;1000","1000;1000;1000;2000","0;0;1;0","nan;nan;nan;nan","nan;nan;nan;nan","49.59;47.97;51.67;46.41","48.95;47.55;48.08;51.53","0.402759213;0.402759213;2.200325442;0.402759213","0.402759213;0.402759213;0.402759213;2.163865322","0;0;0.3492286115;0","0;0;0;0.3429355281","100000;100000;0.713;100000","100000;100000;100000;0.729","0;0;0;0","0;0;0;0","10;10;2805049088;10","10;10;10;2743484225","0;0;0;0","0;0;0;0","-1;-1;0;-1","-1;-1;-1;0"
"parsec-blackscholes-simsmall-3",6,51.53,54.23,"1000;1000;1000;2000","1000;1000;1000;2000","0;0;0;1","nan;nan;nan;nan","nan;nan;nan;nan","48.95;47.55;48.08;51.53","48.41;47.2;47.64;54.23","0.402759213;0.402759213;0.402759213;2.163865322","0.402759213;0.402759213;0.402759213;2.262858852","0;0;0;0.3429355281","0;0;0;0.3640350877","100000;100000;100000;0.729","100000;100000;100000;0.684","0;0;0;0","0;0;0;0","10;10;10;2743484225","10;10;10;2923976608","0;0;0;0","0;0;0;0","-1;-1;-1;0","-1;-1;-1;0"
"parsec-blackscholes-simsmall-3",7,54.23,52.34,"1000;1000;1000;2000","1000;2000;1000;1000","0;0;0;1","nan;nan;nan;nan","nan;nan;nan;nan","48.41;47.2;47.64;54.23","47.96;52.34;47.28;50.71","0.402759213;0.402759213;0.402759213;2.262858852","0.402759213;2.281834962;0.402759213;0.402759213","0;0;0;0.3640350877","0;0.3683431953;0;0","100000;100000;100000;0.684","100000;0.676;100000;100000","0;0;0;0","0;0;0;0","10;10;10;2923976608","10;2958579882;10;10","0;0;0;0","0;0;0;0","-1;-1;-1;0","-1;0;-1;-1"
"parsec-blackscholes-simsmall-3",8,52.34,52.37,"1000;2000;1000;1000","1000;1000;2000;1000","0;1;0;0","nan;nan;nan;nan","nan;nan;nan;nan","47.96;52.34;47.28;50.71","47.58;49.82;52.37;49.89","0.402759213;2.281834962;0.402759213;0.402759213","0.402759213;0.402759213;2.285525542;0.402759213","0;0.3683431953;0;0","0;0;0.3688888889;0","100000;0.676;100000;100000","100011;100011;0.675;100011","0;0;0;0","0;0;0;0","10;2958579882;10;10","9.998900121;9.998900121;2962962963;9.998900121","0;0;0;0","0;0;0;0","-1;0;-1;-1","-1;-1;0;-1"
"parsec-blackscholes-simsmall-3",9,52.37,54.94,"1000;1000;2000;1000","1000;1000;2000;1000","0;0;1;0","nan;nan;nan;nan","nan;nan;nan;nan","47.58;49.82;52.37;49.89","47.26;49.14;54.94;49.2","0.402759213;0.402759213;2.285525542;0.402759213","0.402759213;0.402759213;2.329281962;0.402759213","0;0;0.3688888889;0","0;0;0.3784194529;0","100011;100011;0.675;100011","100000;100000;0.658;100000","0;0;0;0","0;0;0;0","9.998900121;9.998900121;2962962963;9.998900121","10;10;3039513678;10","0;0;0;0","0;0;0;0","-1;-1;0;-1","-1;-1;0;-1"
"parsec-blackscholes-simsmall-3",10,54.94,52.44,"1000;1000;2000;1000","2000;1000;1000;1000","0;0;1;0","nan;nan;nan;nan","nan;nan;nan;nan","47.26;49.14;54.94;49.2","52.39;48.57;52.44;48.62","0.402759213;0.402759213;2.329281962;0.402759213","2.314934362;0.402759213;0.402759213;0.402759213","0;0;0.3784194529;0","0.375;0;0;0","100000;100000;0.658;100000","0.664;100000;100000;100000","0;0;0;0","0;0;0;0","10;10;3039513678;10","3012048193;10;10;10","0;0;0;0","0;0;0;0","-1;-1;0;-1","0;-1;-1;-1"
"parsec-blackscholes-simsmall-3",11,52.44,54.96,"2000;1000;1000;1000","2000;1000;1000;1000","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","52.39;48.57;52.44;48.62","54.96;48.09;51.38;48.13","2.314934362;0.402759213;0.402759213;0.402759213","2.334157092;0.402759213;0.402759213;0.402759213","0.375;0;0;0","0.3795731707;0;0;0","0.664;100000;100000;100000","0.656;100005;100005;100005","0;0;0;0","0;0;0;0","3012048193;10;10;10","3048780488;9.999500025;9.999500025;9.999500025","0;0;0;0","0;0;0;0","0;-1;-1;-1","0;-1;-1;-1"
"parsec-blackscholes-simsmall-3",12,54.96,52.55,"2000;1000;1000;1000","1000;2000;1000;1000","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","54.96;48.09;51.38;48.13","52.55;52.29;50.5;47.72","2.334157092;0.402759213;0.402759213;0.402759213","0.402759213;2.254982762;0.402759213;0.402759213","0.3795731707;0;0;0","0;0.363372093;0;0","0.656;100005;100005;100005","100000;0.688;100000;100000","0;0;0;0","0;0;0;0","3048780488;9.999500025;9.999500025;9.999500025","10;2906976744;10;10","0;0;0;0","0;0;0;0","0;-1;-1;-1","-1;0;-1;-1"
"parsec-blackscholes-simsmall-3",13,52.55,54.8,"1000;2000;1000;1000","1000;2000;1000;1000","0;1;0;0","nan;nan;nan;nan","nan;nan;nan;nan","52.55;52.29;50.5;47.72","51.5;54.8;49.75;47.37","0.402759213;2.254982762;0.402759213;0.402759213","0.402759213;2.293742792;0.402759213;0.402759213","0;0.363372093;0;0","0;0.3710879285;0;0","100000;0.688;100000;100000","100000;0.671;100000;100000","0;0;0;0","0;0;0;0","10;2906976744;10;10","10;2980625931;10;10","0;0;0;0","0;0;0;0","-1;0;-1;-1","-1;0;-1;-1"
"parsec-blackscholes-simsmall-3",14,54.8,52.88,"1000;2000;1000;1000","1000;1000;1000;2000","0;1;0;0","nan;nan;nan;nan","nan;nan;nan;nan","51.5;54.8;49.75;47.37","50.62;52.88;49.12;52.14","0.402759213;2.293742792;0.402759213;0.402759213","0.402759213;0.402759213;0.402759213;2.251459452","0;0.3710879285;0;0","0;0;0;0.3613933237","100000;0.671;100000;100000","100000;100000;100000;0.689","0;0;0;0","0;0;0;0","10;2980625931;10;10","10;10;10;2902757620","0;0;0;0","0;0;0;0","-1;0;-1;-1","-1;-1;-1;0"
"parsec-blackscholes-simsmall-3",15,52.88,54.66,"1000;1000;1000;2000","1000;1000;1000;2000","0;0;0;1","nan;nan;nan;nan","nan;nan;nan;nan","50.62;52.88;49.12;52.14","49.87;51.78;48.59;54.66","0.402759213;0.402759213;0.402759213;2.251459452","0.402759213;0.402759213;0.402759213;2.282544882","0;0;0;0.3613933237","0;0;0;0.3683431953","100000;100000;100000;0.689","100000.5;100000.5;100000.5;0.676","0;0;0;0","0;0;0;0","10;10;10;2902757620","9.99995;9.99995;9.99995;2958579882","0;0;0;0","0;0;0;0","-1;-1;-1;0","-1;-1;-1;0"
"parsec-blackscholes-simsmall-3",16,54.66,52.53,"1000;1000;1000;2000","1000;1000;2000;1000","0;0;0;1","nan;nan;nan;nan","nan;nan;nan;nan","49.87;51.78;48.59;54.66","49.24;50.85;52.53;52.42","0.402759213;0.402759213;0.402759213;2.282544882","0.402759213;0.402759213;2.319952612;0.402759213","0;0;0;0.3683431953","0;0;0.3767019667;0","100000.5;100000.5;100000.5;0.676","100009.5;100009.5;0.661;100009.5","0;0;0;0","0;0;0;0","9.99995;9.99995;9.99995;2958579882","9.99905009;9.99905009;3025718608;9.99905009","0;0;0;0","0;0;0;0","-1;-1;-1;0","-1;-1;0;-1"
